exams,family,friends,internship,sleep,trauma,relationships,disappointment,sadness,neutral,disapproval,annoyance,realization,remorse,embarrassment,approval,optimism,nervousness,love,anger,disgust,joy,desire,grief,admiration,confusion,relief,surprise,fear,caring,excitement,curiosity,amusement,gratitude,pride,age,gender_male,gender_female,gender_non_binary,gender_prefer_not_to_say,ethnicity_black_or_african_american,ethnicity_hispanic_or_latino,ethnicity_white,ethnicity_native_american,ethnicity_pacific_islander,ethnicity_middle_eastern,ethnicity_south_asian,ethnicity_east_asian,ethnicity_southeast_asian,ethnicity_latino,education_high_school,education_bachelor,education_master,education_phd,employment_employed,employment_student,employment_unemployed,employment_self-employed,ratio,feedback
0,1,0,0,1,0,1,0.4065084813393428,0.8483145355333791,0.5079981633130194,0.7967386454560157,0.5459889348483593,0.7104421661331932,0.6431933221247635,0.7613334967963894,0.9495347634113255,0.00257728434393778,0.6106925260127724,0.2835274028963899,0.2984438366563802,0.8040769637069042,0.09213703571760257,0.8190402597365098,0.7629639802884396,0.5325942188050112,0.4663675730364686,0.7514366647970783,0.6686192370927045,0.22878243218990302,0.07069309893845732,0.018731281230258245,0.35260726258942454,0.6832864705900434,0.5453953629533335,0.007720412089902262,36,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,100,5
1,0,1,0,0,1,0,0.6723854795742255,0.28070032418998603,0.06790883939220027,0.9964676000463287,0.4269083293293896,0.38992690551415654,0.6715330238325175,0.7411806226796673,0.4739609485546413,0.34741132128986685,0.29042883108210304,0.3754236540321636,0.9138777369104597,0.8012397606753849,0.9331856969059459,0.8126691563251747,0.3683116124917656,0.9793319739560439,0.15841515834058595,0.06297707883843473,0.15409158499937103,0.4673653733051242,0.9726523975226785,0.6957899814836724,0.085696753808575,0.6056047962172006,0.40064143199098035,0.2967115756495736,44,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,25,4
0,0,1,0,1,0,0,0.5270273960050147,0.7898719141516923,0.0046943432255657225,0.31540698433956726,0.9148343686316779,0.78689158978217,0.28380736860380085,0.8815486254879573,0.3809183242354409,0.4124785869701878,0.8607848607877961,0.950303473678037,0.16256753029130622,0.30765296514640983,0.08473151554063063,0.606922101867586,0.8985068034845297,0.047282855778584154,0.2813509547936386,0.45881392601405535,0.44501311984608094,0.24906526227764658,0.5168953089437769,0.49449591628537215,0.9829005009041037,0.15265525452036055,0.07835172746840802,0.4549897565612958,26,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,100,2
1,0,0,0,0,0,1,0.4406912210522087,0.011969846715383037,0.29076717169287203,0.8388051947581664,0.5413134690154063,0.6032470259734802,0.009973259453278538,0.23422666694103944,0.9931640977878043,0.23099858221159797,0.9054982369524993,0.3798749308437428,0.5417837619979123,0.23775580915701244,0.12234080109557344,0.4977454166346281,0.7471597240183034,0.051192223094189804,0.49697131827241003,0.40334953449124844,0.08092621102648356,0.8085227888737124,0.8565255924252692,0.714855774062079,0.7510165281950824,0.4423139574985364,0.3126331427898228,0.7073905317684092,58,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,25,3
1,1,1,1,1,1,0,0.25003216314555854,0.3110301938253379,0.6565221519620648,0.4870867454607134,0.21785343804670776,0.7008616969092852,0.786992683710107,0.9370859017610457,0.5682265765658508,0.4365532254669343,0.37052182556766045,0.7125316375092391,0.7762931058296372,0.3590861026717287,0.7691122039661406,0.001459282210599322,0.5570601476672827,0.017887619404576838,0.2190863653652938,0.02162703645266084,0.712731220578636,0.5062305435777422,0.4672577206809415,0.12612402358820174,0.4074309352727984,0.09669228009432529,0.502011730595192,0.9316733721512176,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,75,2
0,0,0,1,1,1,1,0.30882544501253095,0.9302552476991516,0.4070804436280999,0.45817704073434007,0.1831514975724171,0.016573860509540128,0.9070759130984255,0.3561457680577461,0.36771496729928155,0.37545611161298875,0.15627803458098521,0.6360563810399583,0.09201527346629157,0.794660619921307,0.11254404603844725,0.6794771740708505,0.9641007811355741,0.7686348577160268,0.21197777380434746,0.2219269610708896,0.846429084717855,0.48024840578267725,0.9107950689125225,0.8031653220337096,0.09065231322404288,0.07068369826948973,0.15960909832808556,0.07514703944991674,42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4
1,1,0,1,1,1,0,0.3443149646746796,0.05608101326704995,0.2024932934778394,0.0817518324369243,0.19519897102318962,0.2644020739084295,0.00322542130102077,0.5846427323876513,0.6526517048072674,0.9497930772126475,0.8965058814307625,0.31979462696850003,0.9028837787539913,0.7016527961003897,0.38514770649086605,0.5639789228094223,0.19704425999468556,0.5168955796714395,0.8255791464890633,0.4120627910742476,0.4784571619600968,0.3570877572781026,0.7660943118728407,0.6133270386227103,0.11571025581072802,0.3697654931777564,0.23967825035360213,0.004516960703158879,54,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,75,3
0,1,1,1,1,1,1,0.4064291839071653,0.2691353500347855,0.9469840276816723,0.7696445325774308,0.31005330423099575,0.42416110499029436,0.18105096075715,0.6026069409014077,0.4962978605079966,0.2791425162138723,0.33145190915984524,0.5907957606397937,0.41657141153763844,0.017263491637661943,0.4671140489972265,0.33601229538307775,0.11315722239982717,0.4519820764232615,0.22180569276898643,0.7804893464910589,0.9965610265745422,0.4696850100407455,0.14863901003866598,0.8499970848491655,0.5798214975511224,0.12544945296314358,0.9796198087637762,0.0034767471098855474,34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,50,2
0,1,0,1,1,1,1,0.011153444308792393,0.7781750564681001,0.21300825261208,0.8223011518960015,0.4662771537282533,0.9536605332945876,0.0004965718230899308,0.7701203026324648,0.19428193282769024,0.9949795282482012,0.3520618853841505,0.010501138093929163,0.314501473942007,0.6395590871469164,0.6856773461808761,0.240612800856553,0.19329997372805152,0.3163078327207408,0.9616125648871192,0.6525160707634978,0.5273424168976104,0.11302086832593505,0.9649845797612487,0.5040609660892034,0.32444489467201576,0.018286084949596382,0.2697643096596334,0.820419108140535,57,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,75,1
0,1,1,1,1,0,1,0.7117150308693574,0.42223234280840827,0.7887806360820829,0.4819856392778771,0.48400573139064273,0.7971912344916185,0.1282070913093506,0.07692844294228396,0.7084385622198394,0.6685964245723892,0.6467906783884109,0.07638683407886482,0.6385811595019768,0.5901113186503003,0.08851615106297972,0.12261436726446817,0.03704076920684318,0.48246343321894336,0.18098662357393036,0.7303452746798783,0.6556008534679062,0.44273944613891714,0.8746432106997031,0.41913316706539594,0.01628259196081072,0.12449658519389062,0.2594187480321173,0.42829213074805317,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,50,2
